Ticket,Open Time,Type,Volume,Item,Inicio,SL,TP,Close Time,Fin,Commission,Taxes,Swap,Profit
23591228,2019.05.01 03:00:31,buy,0.03,usoilspot,63.54,63,64.6,2019.05.01 17:51:08,62.99,0,0,0,-16.5
23607179,2019.05.01 17:06:39,sell,0.02,cadchf,0.75658,0,0,2019.05.01 19:11:48,0.75602,0,0,0,1.1
23594184,2019.05.01 06:34:41,sell,0.03,usdjpy,111.472,111.504,110.205,2019.05.01 21:11:08,111.145,0,0,0,8.83
23594198,2019.05.01 06:35:32,sell,0.03,usdjpy,111.472,111.493,110.893,2019.05.01 21:12:00,111.144,0,0,0,8.85
23591337,2019.05.01 03:04:54,buy,0.03,xauusd,1283.78,1277,0,2019.05.01 21:38:41,1276.87,0,0,0,-20.73
23610456,2019.05.01 19:21:52,sell,0.02,gbpusd,1.30811,0,0,2019.05.01 22:13:29,1.30482,0,0,0,6.58
23628282,2019.05.02 07:49:55,buy,0.03,usoilspot,63.45,63,0,2019.05.02 11:17:54,63,0,0,0,-13.5
23628294,2019.05.02 07:50:31,buy,0.03,usoilspot,63.45,63,0,2019.05.02 11:17:54,63,0,0,0,-13.5
23628323,2019.05.02 07:53:16,buy,0.03,xauusd,1274.33,1270.5,0,2019.05.02 11:29:05,1270.27,0,0,0,-12.18
23628355,2019.05.02 07:54:46,buy,0.03,xauusd,1274.65,1270.5,0,2019.05.02 11:29:05,1270.27,0,0,0,-13.14
23624210,2019.05.02 03:37:09,buy,0.02,chfjpy,109.62,0,0,2019.05.02 15:37:56,109.443,0,0,0,-3.18
23638106,2019.05.02 15:38:52,sell,0.02,gbpaud,1.85914,0,0,2019.05.02 16:25:00,1.8626,0,0,0,-4.85
23628244,2019.05.02 07:45:59,buy,0.03,eurusd,1.12102,1.118,0,2019.05.02 16:37:57,1.118,0,0,0,-9.06
23628271,2019.05.02 07:46:31,buy,0.03,eurusd,1.12102,1.11801,0,2019.05.02 16:37:57,1.118,0,0,0,-9.06
23628188,2019.05.02 07:41:07,sell,0.03,usdcad,1.34372,1.34753,0,2019.05.02 17:30:19,1.34752,0,0,0,-8.46
23628206,2019.05.02 07:41:42,sell,0.03,usdcad,1.34372,1.34757,0,2019.05.02 17:31:07,1.34762,0,0,0,-8.68
23637978,2019.05.02 15:34:53,sell,0.02,eurchf,1.14118,0,0,2019.05.03 13:37:35,1.13887,0,0,-0.08,4.52
23610198,2019.05.01 19:12:43,sell,0.02,gbpcad,1.75555,0,0,2019.05.03 13:57:47,1.75168,0,0,-0.02,5.75
23651506,2019.05.03 01:49:51,sell,0.02,eurnzd,1.68813,0,0,2019.05.03 14:37:02,1.6856,0,0,0,3.35
23655934,2019.05.03 07:34:45,sell,0.03,eurusd,1.11709,1.1166,1.1107,2019.05.03 15:33:32,1.11512,0,0,0,5.91
23655970,2019.05.03 07:35:29,sell,0.03,eurusd,1.11709,1.11641,1.11091,2019.05.03 15:34:09,1.11497,0,0,0,6.36
23655990,2019.05.03 07:36:08,sell,0.03,eurusd,1.11709,1.11651,1.11071,2019.05.03 15:34:47,1.11491,0,0,0,6.54
23662106,2019.05.03 13:51:19,buy,0.02,audcad,0.94256,0,0,2019.05.03 15:41:37,0.94238,0,0,0,-0.27
23662000,2019.05.03 13:44:57,buy,0.02,nzdjpy,73.8,0,0,2019.05.03 15:41:47,73.892,0,0,0,1.65
23613675,2019.05.01 21:11:09,sell,0.02,eurnzd,1.69006,0,0,2019.05.03 15:41:58,1.68426,0,0,0.37,7.69
23594144,2019.05.01 06:33:12,sell,0.02,euraud,1.59031,0,0,2019.05.03 15:42:19,1.59362,0,0,0.23,-4.64
23620124,2019.05.01 22:26:30,sell,0.02,usdcad,1.34492,0,0,2019.05.03 15:42:31,1.34617,0,0,-0.02,-1.86
23638091,2019.05.02 15:38:40,sell,0.02,gbpchf,1.32817,0,0,2019.05.03 15:42:42,1.32729,0,0,-0.17,1.72
23643169,2019.05.02 17:40:47,sell,0.02,gbpjpy,145.305,0,0,2019.05.03 15:42:53,145.162,0,0,-0.13,2.57
23662045,2019.05.03 13:45:23,sell,0.02,euraud,1.59449,0,0,2019.05.03 15:43:03,1.59393,0,0,0,0.79
23638026,2019.05.02 15:36:13,buy,0.02,xauusd,1270.77,0,0,2019.05.03 15:43:13,1274.32,0,0,-0.27,7.1
23651524,2019.05.03 01:50:04,buy,0.02,xauusd,1270.88,0,0,2019.05.03 15:43:24,1274.11,0,0,0,6.46
23689941,2019.05.06 02:00:43,sell,0.02,gbpaud,1.88135,1.89205,1.87305,2019.05.06 10:06:51,1.87924,0,0,0,2.95
23700687,2019.05.06 07:22:17,sell,0.02,xauusd,1283.29,0,0,2019.05.06 15:04:12,1281.08,0,0,0,4.42
23689978,2019.05.06 02:01:11,buy,0.02,audjpy,77.537,76.604,78.404,2019.05.06 18:34:49,77.519,0,0,0,-0.32
23700214,2019.05.06 06:59:40,sell,0.02,euraud,1.60441,0,0,2019.05.06 18:34:49,1.60105,0,0,0,4.7
23712500,2019.05.06 15:30:50,sell,0.02,eurcad,1.50863,0,0,2019.05.06 18:34:54,1.50588,0,0,0,4.09
23714153,2019.05.06 16:21:37,buy,0.02,cadjpy,82.251,0,0,2019.05.06 18:34:54,82.418,0,0,0,3.01
23715074,2019.05.06 16:59:37,sell,0.02,eurcad,1.50717,0,0,2019.05.06 18:34:54,1.5059,0,0,0,1.89
23714037,2019.05.06 16:14:38,buy,0.02,chfjpy,108.781,0,0,2019.05.06 18:34:55,108.87,0,0,0,1.6
23715093,2019.05.06 16:59:49,buy,0.02,chfjpy,108.854,0,0,2019.05.06 18:34:56,108.87,0,0,0,0.29
